rel_path,category,section,item_no,short_name,version,extension,size_bytes,size_kb,placeholder_likely,placeholder_reason,exists
annex-I-technical-specification/13-annexI-technical-specification-v01.docx,annex,annex-I-technical-specification,13,annexI-technical-specification,01,.docx,13325,13.0,True,small file <= 20000 bytes; exact size matches common placeholder docx,True
annex-II-organizations/01-ANL-v01.docx,annex,annex-II-organizations,1,ANL,01,.docx,926331,904.6,False,,True
annex-II-organizations/02-CIAE-v01.docx,annex,annex-II-organizations,2,CIAE,01,.docx,33806,33.0,False,,True
annex-II-organizations/03-CNPRI-v00.docx,annex,annex-II-organizations,3,CNPRI,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-II-organizations/04-ENEA-v01.docx,annex,annex-II-organizations,4,ENEA,01,.docx,27830,27.2,False,,True
annex-II-organizations/05-GIDROPRESS-v00.docx,annex,annex-II-organizations,5,GIDROPRESS,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-II-organizations/06-IANS-v01.docx,annex,annex-II-organizations,6,IANS,01,.docx,23535,23.0,False,,True
annex-II-organizations/07-IBRAE-v01.docx,annex,annex-II-organizations,7,IBRAE,01,.docx,31840,31.1,False,,True
annex-II-organizations/08-IGCAR-v00.docx,annex,annex-II-organizations,8,IGCAR,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-II-organizations/09-JRC-v01.docx,annex,annex-II-organizations,9,JRC,01,.docx,21605,21.1,False,,True
annex-II-organizations/10-KAERI-v00.docx,annex,annex-II-organizations,10,KAERI,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-II-organizations/11-KIT-v01.docx,annex,annex-II-organizations,11,KIT,01,.docx,24757,24.2,False,,True
annex-II-organizations/12-NIKIET-v01.docx,annex,annex-II-organizations,12,NIKIET,01,.docx,29894,29.2,False,,True
annex-II-organizations/13-NINE-v00.docx,annex,annex-II-organizations,13,NINE,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-II-organizations/14-NRG-v01.docx,annex,annex-II-organizations,14,NRG,01,.docx,27581,26.9,False,,True
annex-II-organizations/15-PSI-v00.docx,annex,annex-II-organizations,15,PSI,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-II-organizations/16-PUB-v01.docx,annex,annex-II-organizations,16,PUB,01,.docx,33542,32.8,False,,True
annex-II-organizations/17-RATEN-v01.docx,annex,annex-II-organizations,17,RATEN,01,.docx,20317,19.8,False,,True
annex-II-organizations/18-SAPIENZA-v01.docx,annex,annex-II-organizations,18,SAPIENZA,01,.docx,32750,32.0,False,,True
annex-II-organizations/19-UNIPI-v00.docx,annex,annex-II-organizations,19,UNIPI,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-II-organizations/20-WEC-v01.docx,annex,annex-II-organizations,20,WEC,01,.docx,28452,27.8,False,,True
annex-II-organizations/21-XJTU-v01.docx,annex,annex-II-organizations,21,XJTU,01,.docx,24159,23.6,False,,True
annex-III-codes/01-anteo-v01.docx,annex,annex-III-codes,1,anteo,01,.docx,21751,21.2,False,,True
annex-III-codes/02-celsist-v01.docx,annex,annex-III-codes,2,celsist,01,.docx,30745,30.0,False,,True
annex-III-codes/03-cfx-v01.docx,annex,annex-III-codes,3,cfx,01,.docx,24888,24.3,False,,True
annex-III-codes/04-cobra-v01.docx,annex,annex-III-codes,4,cobra,01,.docx,43189,42.2,False,,True
annex-III-codes/05-ctfr-v00.docx,annex,annex-III-codes,5,ctfr,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/06-flownex-v00.docx,annex,annex-III-codes,6,flownex,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/07-fluent-v01.docx,annex,annex-III-codes,7,fluent,01,.docx,23382,22.8,False,,True
annex-III-codes/08-frtac-v01.docx,annex,annex-III-codes,8,frtac,01,.docx,34879,34.1,False,,True
annex-III-codes/09-gamma-v00.docx,annex,annex-III-codes,9,gamma,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/10-hydra-ibrae-lm-v01.docx,annex,annex-III-codes,10,hydra-ibrae-lm,01,.docx,33896,33.1,False,,True
annex-III-codes/11-locust-v00.docx,annex,annex-III-codes,11,locust,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/12-logos-v01.docx,annex,annex-III-codes,12,logos,01,.docx,31876,31.1,False,,True
annex-III-codes/13-matador-v00.docx,annex,annex-III-codes,13,matador,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/14-nekrs-cardinal-v01.docx,annex,annex-III-codes,14,nekrs-cardinal,01,.docx,928243,906.5,False,,True
annex-III-codes/15-openfoam-baram-v01.docx,annex,annex-III-codes,15,openfoam-baram,01,.docx,23179,22.6,False,,True
annex-III-codes/16-openfoam-v01.docx,annex,annex-III-codes,16,openfoam,01,.docx,22273,21.8,False,,True
annex-III-codes/17-puchok-gmt-v01.docx,annex,annex-III-codes,17,puchok-gmt,01,.docx,31603,30.9,False,,True
annex-III-codes/18-relap5-v01.docx,annex,annex-III-codes,18,relap5,01,.docx,33300,32.5,False,,True
annex-III-codes/19-relap-3d-v00.docx,annex,annex-III-codes,19,relap-3d,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/20-relap-scdapcim-v01.docx,annex,annex-III-codes,20,relap-scdapcim,01,.docx,22132,21.6,False,,True
annex-III-codes/21-sam-moose-scm-v01.docx,annex,annex-III-codes,21,sam-moose-scm,01,.docx,1100749,1075.0,False,,True
annex-III-codes/22-sas4a-sassys-v01.docx,annex,annex-III-codes,22,sas4a-sassys,01,.docx,1074024,1048.9,False,,True
annex-III-codes/23-spectra-v01.docx,annex,annex-III-codes,23,spectra,01,.docx,29176,28.5,False,,True
annex-III-codes/24-star-ccm-v01.docx,annex,annex-III-codes,24,star-ccm,01,.docx,29474,28.8,False,,True
annex-III-codes/25-thacs-v01.docx,annex,annex-III-codes,25,thacs,01,.docx,830062,810.6,False,,True
annex-III-codes/26-thor-v00.docx,annex,annex-III-codes,26,thor,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/27-trace-v00.docx,annex,annex-III-codes,27,trace,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/28-xathas-lbe-v00.docx,annex,annex-III-codes,28,xathas-lbe,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-III-codes/29-yaoguang-v01.docx,annex,annex-III-codes,29,yaoguang,01,.docx,491748,480.2,False,,True
annex-IV-individual-results/01-ANL-v01.docx,annex,annex-IV-individual-results,1,ANL,01,.docx,9874380,9642.9,False,,True
annex-IV-individual-results/02-CIAE-v01.docx,annex,annex-IV-individual-results,2,CIAE,01,.docx,4343278,4241.5,False,,True
annex-IV-individual-results/03-CNPRI-v00.docx,annex,annex-IV-individual-results,3,CNPRI,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-IV-individual-results/04-ENEA-v01.docx,annex,annex-IV-individual-results,4,ENEA,01,.docx,16549166,16161.3,False,,True
annex-IV-individual-results/05-GIDROPRESS-v00.docx,annex,annex-IV-individual-results,5,GIDROPRESS,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-IV-individual-results/06-IANS-v01.docx,annex,annex-IV-individual-results,6,IANS,01,.docx,7480626,7305.3,False,,True
annex-IV-individual-results/07-IBRAE-v01.docx,annex,annex-IV-individual-results,7,IBRAE,01,.docx,3475336,3393.9,False,,True
annex-IV-individual-results/08-IGCAR-v00.docx,annex,annex-IV-individual-results,8,IGCAR,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-IV-individual-results/09-JRC-v01.docx,annex,annex-IV-individual-results,9,JRC,01,.docx,10261490,10021.0,False,,True
annex-IV-individual-results/10-KAERI-v00.docx,annex,annex-IV-individual-results,10,KAERI,00,.docx,19444,19.0,True,small file <= 20000 bytes; version v00,True
annex-IV-individual-results/11-KIT-v01.docx,annex,annex-IV-individual-results,11,KIT,01,.docx,2058803,2010.5,False,,True
annex-IV-individual-results/12-NIKIET-v01.docx,annex,annex-IV-individual-results,12,NIKIET,01,.docx,5743702,5609.1,False,,True
annex-IV-individual-results/13-NINE-v00.docx,annex,annex-IV-individual-results,13,NINE,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-IV-individual-results/14-NRG-v01.docx,annex,annex-IV-individual-results,14,NRG,01,.docx,6281924,6134.7,False,,True
annex-IV-individual-results/15-PSI-v00.docx,annex,annex-IV-individual-results,15,PSI,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-IV-individual-results/16-PUB-v01.docx,annex,annex-IV-individual-results,16,PUB,01,.docx,2874485,2807.1,False,,True
annex-IV-individual-results/17-RATEN-v00.docx,annex,annex-IV-individual-results,17,RATEN,00,.docx,13325,13.0,True,small file <= 20000 bytes; version v00; exact size matches common placeholder docx,True
annex-IV-individual-results/18-SAPIENZA-v01.docx,annex,annex-IV-individual-results,18,SAPIENZA,01,.docx,2620909,2559.5,False,,True
annex-IV-individual-results/19-UNIPI-v01.docx,annex,annex-IV-individual-results,19,UNIPI,01,.docx,8953758,8743.9,False,,True
annex-IV-individual-results/20-WEC-v01.docx,annex,annex-IV-individual-results,20,WEC,01,.docx,1866952,1823.2,False,,True
annex-IV-individual-results/21-XJTU-v01.docx,annex,annex-IV-individual-results,21,XJTU,01,.docx,9067841,8855.3,False,,True
chapters/01-chapter01-v01.docx,chapter,chapters,1,chapter01,01,.docx,25117,24.5,False,,True
chapters/02-chapter02-v01.docx,chapter,chapters,2,chapter02,01,.docx,29487,28.8,False,,True
chapters/03-chapter03-v01.docx,chapter,chapters,3,chapter03,01,.docx,3802149,3713.0,False,,True
chapters/04-chapter04-v01.docx,chapter,chapters,4,chapter04,01,.docx,2179942,2128.8,False,,True
chapters/05-chapter05-v01.docx,chapter,chapters,5,chapter05,01,.docx,13325,13.0,True,small file <= 20000 bytes; exact size matches common placeholder docx,True
chapters/06-chapter06-v01.docx,chapter,chapters,6,chapter06,01,.docx,4373090,4270.6,False,,True
chapters/07-chapter07-v01.docx,chapter,chapters,7,chapter07,01,.docx,1400479,1367.7,False,,True
chapters/08-chapter08-v01.docx,chapter,chapters,8,chapter08,01,.docx,4122524,4025.9,False,,True
chapters/09-chapter09-v01.docx,chapter,chapters,9,chapter09,01,.docx,1891140,1846.8,False,,True
chapters/10-conclusions-v01.docx,chapter,chapters,10,conclusions,01,.docx,13325,13.0,True,small file <= 20000 bytes; exact size matches common placeholder docx,True
chapters/11-references-v01.docx,chapter,chapters,11,references,01,.docx,13325,13.0,True,small file <= 20000 bytes; exact size matches common placeholder docx,True
chapters/12-abbreviations-v01.docx,chapter,chapters,12,abbreviations,01,.docx,13325,13.0,True,small file <= 20000 bytes; exact size matches common placeholder docx,True
